Os01g0100900	Q52RG7
Os01g0197100	Q94IW5
Os01g0197200	Q5QMN3
Os01g0197700	Q4ADV8
Os01g0197900	Q5QMN5
Os01g0198000	Q5QMN4
Os01g0200300	Q5QMZ9
Os01g0200700	A1YTM8
Os01g0201700	Q40704
Os01g0202800	Q0JPT5
Os01g0203000	Q0JPT4
Os01g0205700	Q9LWN0
Os01g0206300	Q5QNM6
Os01g0206700	Q9LWM4
Os01g0208600	Q5QNA6
Os01g0209200	Q5QNB8
Os01g0210700	Q5QNI1
Os01g0211800	Q5QNI5
Os01g0212400	Q5QNI2
Os01g0213800	Q8LT07
Os01g0218032	C7IW64
Os01g0219600	Q5NAT8
Os01g0220100	Q5NAT0
Os01g0220700	Q5NAZ9
Os01g0221100	Q5NAZ7
Os01g0221700	Q5NAY7
Os01g0224700	Q9LG41
Os01g0225400	Q9AWZ8
Os01g0225500	Q9AWZ7
Os01g0227100	Q5N800
Os01g0229400	Q9SSX0
Os01g0231000	Q5NB25
Os01g0232000	Q9LWR2
Os01g0232100	Q9LWR0
Os01g0232700	Q5NAY4
Os01g0233000	Q0JPA6
Os01g0233100	Q0JPA4
Os01g0233500	Q7F830
Os01g0234100	Q0JP99
Os01g0236300	Q5NB85
Os01g0236400	Q5NB83
Os01g0236700	Q5NB82
Os01g0237000	Q9LI17
Os01g0238700	Q9FTU1
Os01g0239000	Q5NAN5
Os01g0239200	Q9FTT3
Os01g0241400	Q0JP62
Os01g0243100	B9EUM5
Os01g0246100	Q9XHY7
Os01g0248900	Q9XHX0
Os01g0249100	Q4PR53
Os01g0252200	Q0JP11
Os01g0253300	Q71VM4
Os01g0253600	Q9SDK9
Os01g0254100	Q5NBT9
Os01g0256800	Q1EHT7
Os01g0256900	Q9LGE6
Os01g0257300	Q9LGE3
Os01g0257400	Q5NAV3
Os01g0258700	Q5NAW2
Os01g0260100	A2ZRG4
Os01g0261200	Q7GCL7
Os01g0266600	Q9SDD6
Os01g0267300	Q5NBM0
Os01g0267900	Q0JNS6
Os01g0268300	Q5NBJ3
Os01g0269900	Q5NBI2
Os01g0270100	Q0JNR2
Os01g0274500	Q4PNY1
Os01g0274800	Q5NBM8
Os01g0275200	Q5NBN9
Os01g0275300	Q5NBN9
Os01g0275600	Q9SDG8
Os01g0276000	Q9SDG6
Os01g0276800	Q5NBP9
Os01g0279300	Q0JNL7
Os01g0279700	Q9SDI4
Os01g0279900	Q0JNL3
Os01g0281200	Q0JNK6
Os01g0281400	Q0JNK5
Os01g0282800	Q43594
Os01g0284500	Q7F731
Os01g0286100	Q0JNI9
Os01g0286600	Q9AR38
Os01g0286900	A2ZRY8
Os01g0287600	Q5NB11
Os01g0290100	Q9LGZ2
Os01g0290600	Q5JNT6
Os01g0291500	Q5JNT2
Os01g0292200	Q9LGV5
Os01g0292900	Q9LGU7
Os01g0293000	Q9LGU6
Os01g0293100	Q5JNS0
Os01g0295700	Q9FYN7
Os01g0300200	Q93VT8
Os01g0302500	Q9FP29
Os01g0304100	Q657W3
Os01g0307500	Q0JNB6
Os01g0312800	Q8LQ92
Os01g0323300	Q657G7
Os01g0323600	P93438
Os01g0328400	Q9ARZ9
Os01g0332200	Q5ZA21
Os01g0339900	Q942L2
Os01g0342700	Q8LQX2
Os01g0348900	Q0JMY8
Os01g0351100	Q0JMY1
Os01g0351200	Q5Z8Q9
Os01g0356500	Q0JMW0
Os01g0357100	Q42997
Os01g0357400	Q0JMV4
Os01g0360200	Q5ZAJ0
Os01g0360600	Q94DR2
Os01g0363300	Q9ARX2
Os01g0367900	Q7G8Y3
Os01g0368900	Q7G8Y5
Os01g0369300	Q5ZC87
Os01g0369900	Q0JMR0
Os01g0370000	Q5ZC83
Os01g0371200	O65857
Os01g0372500	Q93VC3
Os01g0374600	Q5ZCW1
Os01g0376700	Q94E75
Os01g0377500	Q9AS36
Os01g0377700	Q9AS33
Os01g0388000	B9X287
Os01g0495900	Q5VMQ5
Os01g0501700	Q9AVE6
Os01g0502700	Q94E96
Os01g0503400	Q5QN13
Os01g0505400	Q0JMH0
Os01g0505600	Q9AWK2
Os01g0508000	Q5QMT0
Os01g0508100	B7F924
Os01g0508500	Q5QM06
Os01g0510100	Q5QN75
Os01g0513100	Q0JMD4
Os01g0513800	Q9AWM9
Os01g0513900	Q9AWM8
Os01g0518400	Q0JMB2
Os01g0524500	Q8LH59
Os01g0527600	Q8LHH9
Os01g0530400	Q0JM76
Os01g0532600	Q8L481
Os01g0533400	Q8RUV9
Os01g0536000	Q5JLD8
Os01g0541800	Q5JJY5
Os01g0541900	Q5JJY4
Os01g0544450	Q5JKB0
Os01g0547600	A2ZU80
Os01g0549400	Q5JKF2
Os01g0549700	Q0JM17
Os01g0550000	Q5JK84
Os01g0551100	Q5JK90
Os01g0551800	Q5JKN2
Os01g0552300	Q5JKN1
Os01g0555800	B6RGY0
Os01g0557500	Q769E5
Os01g0558600	P40392
Os01g0559900	A9UGV6
Os01g0560000	Q8S9S4
Os01g0566100	Q657D6
Os01g0566500	Q93VD5
Os01g0567500	Q94EC4
Os01g0567600	Q94EC3
Os01g0570700	B9EXM2
Os01g0571300	Q657C0
Os01g0572100	Q657B3
Os01g0574400	Q8LQJ9
Os01g0574500	Q8LQJ8
Os01g0575000	Q0JLS6
Os01g0579600	Q3HRN8
Os01g0580200	Q8W0A1
Os01g0583100	Q0JLP9
Os01g0587000	Q8RU33
Os01g0588200	Q7F4F8
Os01g0588900	Q5ZC82
Os01g0592900	A0A0P0V4R0
Os01g0598200	Q3HRP2
Os01g0600900	P12331
Os01g0604500	Q5ZD81
Os01g0605500	Q0JLE4
Os01g0605700	Q8W0K2
Os01g0606000	Q8LR09
Os01g0607200	B9EXZ6
Os01g0609000	Q7PC80
Os01g0609200	Q8GU92
Os01g0609300	Q0JLC5
Os01g0609900	Q8GU89
Os01g0611100	Q7F7I7
Os01g0612700	Q704V3
Os01g0616400	Q5ZDJ6
Os01g0618200	Q0JL75
Os01g0618400	Q5ZBH5
Os01g0618500	Q0JL73
Os01g0618800	A2ZVG7
Os01g0622300	Q9AXB0
Os01g0622600	A2ZVI7
Os01g0622700	Q9AXA6
Os01g0624000	Q0JL46
Os01g0624500	Q0JL44
Os01g0625200	B9EY52
Os01g0625300	Q6VBA4
Os01g0629900	Q5ZCI1
Os01g0633100	Q7G065
Os01g0634500	Q8RYM9
Os01g0635550	Q5VM82
Os01g0637600	Q5VNN5
Os01g0639100	Q5VNM3
Os01g0639200	Q0JKZ0
Os01g0641600	P0C032
Os01g0642000	Q5VNW5
Os01g0643300	Q5VP70
Os01g0643600	Q0JKX1
Os01g0643800	Q5VP69
Os01g0645000	A2ZVY5
Os01g0645200	Q5VRB2
Os01g0645400	A0A0P0V5U9
Os01g0648000	Q0JKV1
Os01g0651100	A2ZW16
Os01g0651200	Q0JKT4
Os01g0651800	Q8RZ40
Os01g0652300	B9EYD3
Os01g0656200	Q5SN75
Os01g0657100	Q94DB8
Os01g0658400	Q8S920
Os01g0662300	O22386
Os01g0662600	Q8LR34
Os01g0663300	Q0JKM9
Os01g0665200	Q5SN53
Os01g0667400	Q0JKK6
Os01g0667700	Q5QLR5
Os01g0667900	Q5QLR2
Os01g0670800	Q0JKI9
Os01g0672400	Q5QMP3
Os01g0674500	Q5QM27
Os01g0675100	Q9FR35
Os01g0675500	Q5QM25
Os01g0675700	Q0JKG7
Os01g0678500	Q5QM84
Os01g0679700	P0DKK1
Os01g0681900	Q0JKD0
Os01g0683400	Q5N8Q4
Os01g0683500	Q5N8Q3
Os01g0683550	Q5N8Q3
Os01g0686800	P49027
Os01g0693400	Q8RZX9
Os01g0693900	Q5N9Q7
Os01g0695600	B9EYZ1
Os01g0700100	Q5N8J1
Os01g0702000	Q5N8J3
Os01g0702500	P30287
Os01g0704100	Q94JG1
Os01g0705100	Q94JF3
Os01g0705200	Q94JF2
Os01g0706700	Q0JJZ6
Os01g0706900	Q5N8F2
Os01g0708500	Q8LR50
Os01g0710200	Q5NAI7
Os01g0710700	Q5NAI4
Os01g0711500	Q3HRN7
Os01g0711800	A2ZX50
Os01g0713600	A4LBC0
Os01g0715500	Q0JJV1
Os01g0715600	Q0JJV0
Os01g0717601	Q5JLA7
Os01g0718000	Q942F8
Os01g0718300	Q942F3
Os01g0718700	A2ZX97
Os01g0719100	Q5JL96
Os01g0719700	Q0JJS8
Os01g0720700	Q8W0E4
Os01g0722700	Q2KNB7
Os01g0723500	Q8S2E6
Os01g0723600	Q8S2E5
Os01g0723700	Q5JNA1
Os01g0724500	Q7FMW4
Os01g0725400	Q5JM57
Os01g0726400	Q8S151
Os01g0733200	Q942D6
Os01g0733500	Q942D4
Os01g0738400	Q94JI5
Os01g0741900	Q8LQ74
Os01g0742500	Q8LQ68
Os01g0743800	Q0JJE3
Os01g0744000	Q5JKW1
Os01g0744400	Q5JLY8
Os01g0746400	Q8LIY8
Os01g0746700	Q0JJD4
Os01g0747500	Q0JJD1
Os01g0748150	Q5JNJ5
Os01g0749300	Q94J16
Os01g0750300	Q5JN63
Os01g0752300	Q943F3
Os01g0753500	Q5JMM1
Os01g0755500	Q8LT05
Os01g0756200	Q5JMK6
Os01g0756700	Q5JM04
Os01g0757200	Q8S0S6
Os01g0758200	Q5JLR7
Os01g0759100	Q94DT9
Os01g0759200	Q5JLQ9
Os01g0759400	Q5JLS2
Os01g0760600	P37833
Os01g0760800	Q5JMF3
Os01g0760900	Q5JMF2
Os01g0762500	P07728
Os01g0764000	O82451
Os01g0764800	P0C0M2
Os01g0765400	Q94DW6
Os01g0765900	Q5JN07
Os01g0766900	Q8LIY0
Os01g0767900	Q0JJ01
Os01g0769100	Q5ZAQ2
Os01g0769900	Q0JIZ1
Os01g0770200	Q94EE9
Os01g0770700	Q94EE4
Os01g0770800	Q5ZD08
Os01g0772000	Q5N8Z0
Os01g0773700	Q5ZBY9
Os01g0775400	Q5ZAY9
Os01g0777300	Q60GC1
Os01g0778400	A9UGV5
Os01g0780500	Q7F613
Os01g0785400	Q8LQM5
Os01g0788800	Q5ZAY0
Os01g0789100	Q5N9A1
Os01g0794400	Q0JIL1
Os01g0798500	Q5VQK9
Os01g0801600	Q8S2G5
Os01g0802100	Q8S2G0
Os01g0802700	Q5VQY3
Os01g0803200	P09229
Os01g0805600	Q0JIF2
Os01g0805900	P45960
Os01g0808100	Q6IVC2
Os01g0808400	Q5VQQ5
Os01g0809300	Q5VQP7
Os01g0810000	Q8S1Z1
Os01g0810100	Q8S1Z0
Os01g0810300	Q8S1Y9
Os01g0811100	Q9LSU0
Os01g0812000	Q0JIC2
Os01g0813400	Q06396
Os01g0813700	B7F8N7
Os01g0813800	Q8RZL1
Os01g0816100	Q52QH4
Os01g0816400	Q5N749
Os01g0818400	Q5QMM3
Os01g0823100	Q40636
Os01g0823300	P49216
Os01g0824600	Q0JI49
Os01g0826400	Q6IEQ7
Os01g0827300	Q941X2
Os01g0828900	Q941W1
Os01g0829000	Q5QLS7
Os01g0829900	Q941V3
Os01g0831000	Q7XAQ6
Os01g0831300	Q8S233
Os01g0831900	Q8S230
Os01g0832000	Q5N9J9
Os01g0832300	Q8LPZ7
Os01g0833700	P49661
Os01g0834400	Q5QMG3
Os01g0834700	Q0JHZ2
Os01g0837000	A2CIR5
Os01g0837800	Q5NA18
Os01g0838800	Q5NA06
Os01g0839500	Q943L2
Os01g0840300	Q8LR86
Os01g0841500	Q0JHU7
Os01g0841700	Q0JHU5
Os01g0842400	Q5N9X2
Os01g0842600	Q8S2A7
Os01g0843800	Q5N9W4
Os01g0846300	Q5N9N2
Os01g0847200	Q941T9
Os01g0847300	Q5N794
Os01g0848200	Q941T1
Os01g0850100	Q5N7A7
Os01g0850550	Q5N7A3
Os01g0850700	Q5N7B4
Os01g0850800	Q0JHP8
Os01g0851400	Q8LQ36
Os01g0852200	Q8W0H5
Os01g0853400	Q6Y9P5
Os01g0854500	Q8W0F1
Os01g0856000	Q5N897
Os01g0856500	Q5N892
Os01g0857700	Q94DE2
Os01g0858900	Q94DD4
Os01g0859300	Q8RZ35
Os01g0859500	Q5N7C7
Os01g0864000	Q94CV1
Os01g0864700	Q94CU5
Os01g0866100	P0C540
Os01g0866200	Q2RAD9
Os01g0866400	Q0JHF8
Os01g0866800	Q8LJA9
Os01g0867300	Q0JHF1
Os01g0868300	O48653
Os01g0869200	Q8S1N1
Os01g0869900	Q5N942
Os01g0870100	Q5N941
Os01g0870300	Q84KJ6
Os01g0871200	Q943I6
Os01g0875500	Q5N8X6
Os01g0880800	Q8LJJ9
Os01g0881300	Q8RZQ8
Os01g0883100	Q40702
Os01g0883800	Q0JH50
Os01g0884300	Q7F2L3
Os01g0886200	Q8RU31
Os01g0887000	Q5N8G1
Os01g0887700	Q7F2Z1
Os01g0889400	Q8LQH4
Os01g0890900	Q5N829
Os01g0894300	Q0JGZ6
Os01g0895100	Q8S0J7
Os01g0896300	B2ZX90
Os01g0896700	Q8L4L4
Os01g0896800	Q0JGY1
Os01g0897000	Q8L4P8
Os01g0897600	Q5N863
Os01g0897700	Q8S0F0
Os01g0898900	Q5N855
Os01g0900400	Q8S1D9
Os01g0901500	Q7F1X5
Os01g0901600	Q8RU95
Os01g0904700	Q5N6V8
Os01g0905400	Q5N6V0
Os01g0905800	Q5N725
Os01g0907400	Q5N712
Os01g0907900	Q0JGS5
Os01g0908500	Q8L4S2
Os01g0909200	Q5N870
Os01g0911100	Q5N7W4
Os01g0911200	Q5N7W3
Os01g0911700	P37398
Os01g0913000	Q8S091
Os01g0914700	Q5N808
Os01g0915200	Q5N806
Os01g0915401	Q0JGM8
Os01g0917400	Q5JLB5
Os01g0917500	Q8RZV7
Os01g0918300	P55857
Os01g0919400	Q0JGK4
Os01g0919800	Q5JLM1
Os01g0919900	Q8S059
Os01g0921600	Q5JJI4
Os01g0922600	Q0JGI1
Os01g0922800	Q9XJ61
Os01g0923700	A1A696
Os01g0924000	O65037
Os01g0926400	Q8S1X9
Os01g0926600	Q8S1X8
Os01g0926700	Q8S1X7
Os01g0927600	Q5JK20
Os01g0928600	Q8RYL1
Os01g0928700	Q8RYL0
Os01g0928800	Q5JK39
Os01g0929600	Q942X0
Os01g0930400	Q5JK32
Os01g0930800	Q5JK35
Os01g0931400	Q5JK24
Os01g0932500	Q5JMH0
Os01g0933500	Q8LR63
Os01g0934800	Q0JG99
Os01g0934900	Q0JG98
Os01g0935500	Q942X8
Os01g0935900	Q942X4
Os01g0936000	Q0JG89
Os01g0938100	Q0JG75
Os01g0939100	Q8RUN1
Os01g0939600	Q8S0G4
Os01g0940000	Q5JLP4
Os01g0940100	Q2KNB4
Os01g0948100	Q8GT06
Os01g0948900	A2CIR7
Os01g0949500	Q8RZB5
Os01g0951200	Q9LDN2
Os01g0951400	Q8RZA1
Os01g0952000	Q942A8
Os01g0952100	Q942A7
Os01g0952500	Q942A1
Os01g0952800	Q0JFZ0
Os01g0953600	Q941Z0
Os01g0954000	Q941Y8
Os01g0955100	Q8RYK0
Os01g0955400	Q8RYJ9
Os01g0955500	Q8RYJ8
Os01g0957000	Q5JK52
Os01g0958000	Q5JK68
Os01g0959800	Q5JN42
Os01g0962400	Q94DM8
Os01g0963400	Q5JMR9
Os01g0966700	Q5JJV0
Os01g0968800	Q8S9Z5
Os01g0969100	Q8S9Z2
Os01g0970400	P48599
Os01g0970600	Q0JFN7
Os01g0971100	Q5JME8
Os01g0971800	Q94DH3
Os01g0972200	Q94DG6
Os01g0974200	Q5JM82
Os01g0974400	Q94CT7
Os01g0975900	Q94CS9
Os01g0976000	Q5JL08
Os01g0976600	Q5JNC0
Os01g0977200	Q5JNB5
Os02g0100100	Q67IX6
Os02g0101800	Q6YU88
Os02g0103800	Q6ZFJ3
Os02g0104700	Q6YPG5
Os02g0105900	P49398
Os02g0112100	P0DKG9
Os02g0112600	P0DKH0
Os02g0112900	Q6ZH29
Os02g0114200	P37891
Os02g0115700	Q0E4K1
Os02g0115900	Q6Z7B0
Os02g0116300	Q6ZGM7
Os02g0116400	Q0E4J6
Os02g0117400	Q6ZGL9
Os02g0117800	Q6ZGL4
Os02g0118400	Q6ZH45
Os02g0120500	Q6YUS3
Os02g0120800	Q6ZHA3
Os02g0121700	Q6ZH94
Os02g0121800	Q6ZH92
Os02g0123100	P29619
Os02g0123700	Q6Z715
Os02g0125300	Q9MBD8
Os02g0126400	Q6Z2M9
Os02g0127700	Q6Z2L5
Os02g0128000	Q0E4A8
Os02g0131800	Q6ZG85
Os02g0133000	Q0E474
Os02g0133800	P52428
Os02g0134000	B9F2L1
Os02g0134400	Q6Z836
Os02g0134500	A3A2W2
Os02g0135200	Q0E459
Os02g0135300	Q6Z829
Os02g0137500	Q6YXY2
Os02g0137800	Q6YXX9
Os02g0138900	Q6YXZ1
Os02g0139000	Q6YXZ4
Os02g0139200	Q6YXZ7
Os02g0139400	A3A2Z8
Os02g0139700	Q6Z2X6
Os02g0140300	Q6Z2X3
Os02g0141100	Q6Z2W3
Os02g0143100	Q6YXW6
Os02g0146600	Q6Z2Z4
Os02g0148100	Q6Z437
Os02g0148500	Q6Z433
Os02g0149800	Q67UX7
Os02g0149900	Q67UX6
Os02g0150100	Q0E3X4
Os02g0150800	Q67UX0
Os02g0151300	Q67UW5
Os02g0152900	Q0E3V2
Os02g0157700	B9F2U5
Os02g0157900	Q6ET49
Os02g0161000	Q6H7U5
Os02g0161100	Q6H7U3
Os02g0161200	Q6H7U2
Os02g0164900	Q6H6V4
Os02g0166800	Q0E3M2
Os02g0167300	P46265
Os02g0168000	Q0E3L5
Os02g0168800	Q6H6D2
Os02g0169400	Q6H6C3
Os02g0170300	Q6H711
Os02g0173000	Q0E3I9
Os02g0173900	B9F3B6
Os02g0174100	Q6H509
Os02g0175000	Q6H501
Os02g0175100	Q6H500
Os02g0177300	Q0E3F8
Os02g0177600	Q6ETN3
Os02g0177700	Q6ETN2
Os02g0178400	P38385
Os02g0178800	Q6ETL8
Os02g0179400	Q6ETL2
Os02g0179500	Q6ETK9
Os02g0180000	Q6ETK3
Os02g0181300	Q6QHD1
Os02g0181900	Q0E3C8
Os02g0182100	Q6H805
Os02g0182800	Q0E3C3
Os02g0184400	B7F7B9
Os02g0187100	Q6ZIF9
Os02g0187800	Q6ZHS4
Os02g0190300	Q6YUU5
Os02g0192500	Q7PC76
Os02g0192700	Q7F8S5
Os02g0194200	Q7F8R0
Os02g0194400	Q7F8Q9
Os02g0194900	Q0E342
Os02g0195300	A0A0P0VG31
Os02g0195600	Q6H7P8
Os02g0196300	Q6H7M7
Os02g0196600	Q6H7M3
Os02g0196800	Q6H7M1
Os02g0201000	B7EZJ7
Os02g0201900	Q0E2Z7
Os02g0202200	Q6Z784
Os02g0204400	Q0E2Y1
Os02g0204700	Q6Z6D6
Os02g0208300	Q8GU88
Os02g0209000	Q6H8D6
Os02g0209100	Q6H8D5
Os02g0214900	Q7Y0Y6
Os02g0215200	Q6YV04
Os02g0217600	Q0E2S4
Os02g0217900	Q6Z6L5
Os02g0218200	Q6Z6L4
Os02g0218700	Q6Z6L1
Os02g0218800	Q6Z6K9
Os02g0219200	Q6Z6K4
Os02g0219900	Q6YW53
Os02g0220000	Q6YW51
Os02g0220100	Q6YW50
Os02g0220400	Q6YW48
Os02g0220500	Q6YW46
Os02g0220600	Q9ZRI7
Os02g0221300	Q0E2Q3
Os02g0224100	Q6Z8B9
Os02g0224200	Q0E2P1
Os02g0228900	Q6H543
Os02g0229500	Q0E2L3
Os02g0229600	Q0E2L3
Os02g0232000	Q6EUG4
Os02g0232100	I6PL68
Os02g0232900	Q40746
Os02g0233200	Q6EUF1
Os02g0234300	Q6EUK7
Os02g0244100	B9F4Q9
Os02g0245800	Q6K3T2
Os02g0247100	Q6K3R9
Os02g0247800	Q6K3R5
Os02g0249000	Q6K508
Os02g0249600	Q02897
Os02g0249800	P14323
Os02g0249900	P14323
Os02g0252400	Q6K537
Os02g0255100	Q6EN45
Os02g0255500	Q6EN42
Os02g0257300	Q6ETQ7
Os02g0261100	Q8S919
Os02g0266800	Q6ETX0
Os02g0267200	Q4PR52
Os02g0267700	Q4PR51
Os02g0267900	Q4PR42
Os02g0268000	Q4PR43
Os02g0268000	Q4PR43
Os02g0268100	Q6ERU3
Os02g0268300	P14614
Os02g0268600	Q4PR44
Os02g0274000	F1SZ44
Os02g0274100	Q8W1L6
Os02g0275100	Q6K7S7
Os02g0276500	Q6K7V6
Os02g0278700	Q6ET36
Os02g0283800	Q6K4T4
Os02g0288600	Q0E1Z0
Os02g0290500	Q6K881
Os02g0291000	Q3HRP0
Os02g0291400	Q3HRN9
Os02g0301000	Q6K4V3
Os02g0301100	Q6K4V2
Os02g0304900	Q6H6E6
Os02g0312600	Q6Z7L8
Os02g0313400	Q6Z6S1
Os02g0314300	Q5KTQ9
Os02g0317400	Q6Z844
Os02g0318450	Q8GU85
Os02g0318500	Q8GU85
Os02g0319100	Q6EQX3
Os02g0324400	Q6Z6T2
Os02g0325600	Q6Z869
Os02g0327000	Q6YWF1
Os02g0329800	Q6Z7I3
Os02g0330200	Q6ZFR0
Os02g0436400	Q67W29
Os02g0438200	Q6Z7H3
Os02g0440000	Q6ZG77
Os02g0455800	Q6K3B2
Os02g0455900	Q6K3B1
Os02g0460200	Q0E1D7
Os02g0466400	Q6K7B8
Os02g0471500	Q6K6N7
Os02g0475400	Q6K739
Os02g0489400	P49199
Os02g0489800	Q6K765
Os02g0490000	Q6K762
Os02g0491600	Q6K5Q0
Os02g0491700	Q6K5P9
Os02g0491800	Q6K5P8
Os02g0496100	Q6K6S5
Os02g0504800	B9F058
Os02g0506500	Q6K6K7
Os02g0510200	Q6K2E8
Os02g0512300	Q0E0Y3
Os02g0512400	Q6K609
Os02g0513100	Q6K602
Os02g0517531	Q64M78
Os02g0518600	Q6H4M2
Os02g0519100	Q6H4L9
Os02g0520750	Q6H4N0
Os02g0523800	Q6H545
Os02g0526400	Q6H795
Os02g0527300	Q6H6Q7
Os02g0528900	Q8GU83
Os02g0529150	Q6H6P0
Os02g0529400	Q6H6N5
Os02g0529600	Q6H765
Os02g0530300	Q6H754
Os02g0530600	Q0E0Q3
Os02g0531200	Q6ESG1
Os02g0532500	Q6ESF0
Os02g0533900	Q93XI4
Os02g0534400	Q0E0P0
Os02g0535400	Q6EPW7
Os02g0537000	Q6ETW4
Os02g0537700	Q6ER94
Os02g0541325	Q6ESZ9
Os02g0549600	P0DKK8
Os02g0550300	Q0E0I1
Os02g0550600	Q69T31
Os02g0550800	Q69T29
Os02g0551100	Q6ZI44
Os02g0553200	Q69SV0
Os02g0554900	Q69ST6
Os02g0557200	Q6YVY0
Os02g0557500	Q6YVX9
Os02g0557800	Q6YVX7
Os02g0558300	Q6YVX4
Os02g0559400	Q0E0C6
Os02g0559800	Q9LRB7
Os02g0560200	Q9LRB7
Os02g0560600	Q9LRB7
Os02g0561000	Q9LRB7
Os02g0561400	Q9LRB7
Os02g0561800	Q9LRB7
Os02g0564100	Q6Z7F4
Os02g0565600	Q0E0A6
Os02g0567100	Q6YTI3
Os02g0567200	Q6YTI2
Os02g0568200	Q5KS50
Os02g0569000	Q6YTF5
Os02g0569400	Q6YTF1
Os02g0570400	Q0E088
Os02g0570500	A3A871
Os02g0570700	Q6YV88
Os02g0571100	Q6Z5I0
Os02g0571300	Q6Z5J6
Os02g0571800	A4KAG8
Os02g0571900	Q6Z5I7
Os02g0572400	Q0E079
Os02g0575200	Q69S81
Os02g0576600	Q69JW3
Os02g0576700	Q69JW2
Os02g0578366	Q6EP58
Os02g0579600	Q6EP49
Os02g0580300	Q6EUP4
Os02g0580300	Q7XAK4
Os02g0581300	Q6EUN0
Os02g0590800	Q6YY75
Os02g0593600	Q6ZH85
Os02g0595900	Q6ZI50
Os02g0596900	Q6K908
Os02g0598200	Q6K5K2
Os02g0599150	Q6K1U4
Os02g0599150	Q6K1U0
Os02g0599200	A3A8Q4
Os02g0599700	Q0DZT4
Os02g0600000	Q6K5I0
Os02g0601300	Q6K5G8
Os02g0602100	Q6K5F8
Os02g0603800	Q6K8J4
Os02g0604300	Q6K8S7
Os02g0604600	Q6K8S5
Os02g0604700	Q6K8S3
Os02g0604800	Q6K8S1
Os02g0605000	Q6K8S0
Os02g0605900	Q6K8R2
Os02g0606600	Q0DZP5
Os02g0606900	A3A8W2
Os02g0607000	Q6K1Z6
Os02g0607400	Q6K1Z1
Os02g0607500	A3A8W6
Os02g0610600	Q6K9C3
Os02g0610800	Q6K9C1
Os02g0611500	Q6K641
Os02g0611800	Q6K638
Os02g0612300	Q84L14
Os02g0617500	B6DMK2
Os02g0617700	Q6KAI0
Os02g0618100	Q6K953
Os02g0618200	Q689G9
Os02g0620500	Q6K9G3
Os02g0620600	Q6K9G1
Os02g0621300	Q6K9F6
Os02g0621700	Q6K9N6
Os02g0622100	Q6K9N1
Os02g0623400	Q0DZF3
Os02g0624300	Q6K1S6
Os02g0626100	P14717
Os02g0627100	Q0DZE0
Os02g0628000	B9F166
Os02g0628600	Q6K223
Os02g0629200	Q6K215
Os02g0629800	Q6K209
Os02g0631700	Q6H468
Os02g0633300	Q6H7J6
Os02g0633400	Q6H7J5
Os02g0633700	Q6H7J4
Os02g0633900	Q6H7J3
Os02g0635200	Q6H849
Os02g0636300	Q6H874
Os02g0637000	Q6H5X0
Os02g0639500	Q0DZ85
Os02g0639600	Q6H5U3
Os02g0639900	Q6H7E4
Os02g0641800	Q6H7S2
Os02g0642300	A3A9H6
Os02g0643200	Q6H668
